isim_kanonik,bakanlik,baslangic_tarihi,bitis_tarihi,parti,not
FAHRETTİN KOCA,Sağlık,2018-07-10,2024-07-02,Bağımsız/Teknokrat,"MP değil; 2023 seçimleri sonrası Erdoğan III kabinesinde yeniden atandı"
MEHMET NURİ ERSOY,Kültür ve Turizm,2018-07-10,NA,Bağımsız/Teknokrat,"MP değil; iş insanı; 2023 kabinesinde yeniden atandı; hâlâ görevde"
YUSUF TEKİN,Millî Eğitim,2023-06-03,NA,Bağımsız/Teknokrat,"Akademisyen (YÖK Başkanı iken atandı); Mahmut Özer'in yerini aldı; hâlâ görevde"
BEKİR PAKDEMİRLİ,Tarım ve Orman,2018-07-10,2022-03-04,Bağımsız/Teknokrat,"MP değil; Vahit Kirişci tarafından değiştirildi (Kirişci seçilmiş MV)"
VEDAT IŞIKHAN,Çalışma ve Sosyal Güvenlik,2023-06-03,NA,Bağımsız/Teknokrat,"Hacettepe Üniversitesi Prof. Dr.; hâlâ görevde"
ALİ YERLİKAYA,İçişleri,2023-06-03,NA,Bağımsız/Teknokrat,"Süleyman Soylu'nun yerine; eski İstanbul Valisi; MP değil"
İBRAHİM YUMAKLI,Tarım ve Orman,2023-06-03,NA,Bağımsız/Teknokrat,"Vahit Kirişci'nin yerine; 2022'de bakan yardımcısıydı; MP değil"
MAHİNUR ÖZDEMİR GÖKTAŞ,Aile ve Sosyal Hizmetler,2023-06-03,NA,Bağımsız/Teknokrat,"Derya Yanık'ın yerine; eski Avrupa Parlamentosu üyesi; MP değil"
ÖMER BOLAT,Ticaret,2023-06-03,NA,Bağımsız/Teknokrat,"Mehmet Muş PBK başkanı olunca yerine atandı; MP değil"
ABDULKADİR URALOĞLU,Ulaştırma ve Altyapı,2023-06-03,NA,Bağımsız/Teknokrat,"Adil Karaismailoğlu'nun yerine; eski TCDD Genel Müdürü; MP değil"
RUHSAR PEKCAN,Ticaret,2018-07-09,2021-04-21,Bağımsız/Teknokrat,"Mehmet Muş tarafından değiştirildi; MP değil"
ZİYA SELÇUK,Millî Eğitim,2018-07-09,2021-08-06,Bağımsız/Teknokrat,"Mahmut Özer tarafından değiştirildi; akademisyen; MP değil"
MEHMET FATİH KACIR,Sanayi ve Teknoloji,2023-06-03,NA,Bağımsız/Teknokrat,"Mustafa Varank'ın yerine; eski bakan yardımcısı; MP değil"
YAŞAR GÜLER,Millî Savunma,2023-06-03,NA,Bağımsız/Teknokrat,"Hulusi Akar'ın yerine; eski Genelkurmay Başkanı; MP değil"
MURAT KURUM,Çevre ve Şehircilik,2018-07-09,2023-06-03,Bağımsız/Teknokrat,"1. dönem 2018-2023; Mayıs 2023 seçimlerinde AKP İstanbul MV seçildi; bitis_tarihi dogrulanmadi — 28. dönem mv_metadata kontrolü gerekli; mv_metadata'da bulunamadı"
ALPARSLAN BAYRAKTAR,Enerji ve Tabii Kaynaklar,2023-06-03,NA,Bağımsız/Teknokrat,"Fatih Dönmez'in yerine; enerji uzmanı; MP değil"
HAKAN FİDAN,Dışişleri,2023-06-03,NA,Bağımsız/Teknokrat,"eski MİT Müsteşarı; MP değil; hâlâ görevde"
KEMAL MEMİŞOĞLU,Sağlık,2024-07-02,NA,Bağımsız/Teknokrat,"Fahrettin Koca'nın yerine; TÜSEB Başkanı; MP değil; hâlâ görevde"
