tutanak_id,donem,yasama_yili,butce_yili,tarih,tarih_raw,baslik,kaynak_url
998,23,3,2009,2008-11-17,17/11/2008,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=3
999,23,3,2009,2008-11-18,18/11/2008,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=3
1000,23,3,2009,2008-11-20,20/11/2008,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=3
1001,23,3,2009,2008-11-21,21/11/2008,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=3
1019,23,4,2010,2009-10-26,26/10/2009,BÜTÇE VE KESİN HESAP KANUNU TASARILARININ SUNUMU,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1004,23,4,2010,2009-11-03,03/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1005,23,4,2010,2009-11-04,04/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1006,23,4,2010,2009-11-05,05/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1008,23,4,2010,2009-11-09,09/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1009,23,4,2010,2009-11-10,10/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1010,23,4,2010,2009-11-11,11/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1011,23,4,2010,2009-11-12,12/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1012,23,4,2010,2009-11-13,13/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1013,23,4,2010,2009-11-16,16/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1014,23,4,2010,2009-11-17,17/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1015,23,4,2010,2009-11-18,18/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1016,23,4,2010,2009-11-19,19/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1017,23,4,2010,2009-11-20,20/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1018,23,4,2010,2009-11-23,23/11/2009,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=4
1035,23,5,2011,2010-10-26,26/10/2010,MALİYE BAKANININ BÜTÇE VE KESİN HESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1021,23,5,2011,2010-11-02,02/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1022,23,5,2011,2010-11-03,03/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1023,23,5,2011,2010-11-04,04/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1024,23,5,2011,2010-11-05,05/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1025,23,5,2011,2010-11-08,08/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1026,23,5,2011,2010-11-09,09/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1027,23,5,2011,2010-11-10,10/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1028,23,5,2011,2010-11-11,11/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1029,23,5,2011,2010-11-12,12/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1030,23,5,2011,2010-11-22,22/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1031,23,5,2011,2010-11-23,23/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1033,23,5,2011,2010-11-24,24/11/2010,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=23&YasamaYili=5
1077,24,2,2012,2011-10-26,26/10/2011,MALİYE BAKANININ BÜTÇE VE KESİN HESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1080,24,2,2012,2011-10-31,31/10/2011,BÜTÇE VE KESİNHESAP KANUNU TASARILARININ TÜMÜ ÜZERİNDE GÖRÜŞMELER,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
