tutanak_id,kaynak,donem,yasama_yili,butce_yili,tarih,baslik,tip,yerel_pdf_yol,yerel_txt_yol,indir_durum,parse_durum,sayfa_sayisi,kelime_sayisi,kalite_skoru,sure_sn,hata_mesaji
998,owa,23,3,2009,2008-11-17,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20081117_998_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20081117_998_owa.txt,atla,atla,NA,58083,9.3,NA,NA
999,owa,23,3,2009,2008-11-18,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20081118_999_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20081118_999_owa.txt,atla,atla,NA,50245,9.3,NA,NA
1000,owa,23,3,2009,2008-11-20,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20081120_1000_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20081120_1000_owa.txt,atla,atla,NA,59574,9.2,NA,NA
1001,owa,23,3,2009,2008-11-21,2009 MALİ YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2007 MALİ YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20081121_1001_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20081121_1001_owa.txt,ok,ok,34,27440,9.4,1.6399999999999997,NA
1019,owa,23,4,2010,2009-10-26,BÜTÇE VE KESİN HESAP KANUNU TASARILARININ SUNUMU,sunum,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091026_1019_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091026_1019_owa.txt,ok,ok,13,8767,8,1.6799999999999997,NA
1004,owa,23,4,2010,2009-11-03,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091103_1004_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091103_1004_owa.txt,ok,ok,83,62522,9.3,1.9400000000000013,NA
1005,owa,23,4,2010,2009-11-04,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091104_1005_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091104_1005_owa.txt,ok,ok,45,35168,9.3,1.7300000000000004,NA
1006,owa,23,4,2010,2009-11-05,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091105_1006_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091105_1006_owa.txt,ok,ok,71,53050,9.3,2.2699999999999996,NA
1008,owa,23,4,2010,2009-11-09,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091109_1008_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091109_1008_owa.txt,ok,ok,83,63517,9.3,2.1799999999999997,NA
1009,owa,23,4,2010,2009-11-10,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091110_1009_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091110_1009_owa.txt,ok,ok,32,24277,9.3,1.860000000000003,NA
1010,owa,23,4,2010,2009-11-11,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091111_1010_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091111_1010_owa.txt,ok,ok,84,64605,9.3,2.469999999999999,NA
1011,owa,23,4,2010,2009-11-12,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091112_1011_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091112_1011_owa.txt,ok,ok,98,76785,9.3,2.279999999999994,NA
1012,owa,23,4,2010,2009-11-13,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091113_1012_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091113_1012_owa.txt,ok,ok,19,14814,9.2,2.1300000000000026,NA
1013,owa,23,4,2010,2009-11-16,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091116_1013_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091116_1013_owa.txt,ok,ok,76,60565,9.3,2.1100000000000065,NA
