link_metni,pdf_url_ham,pdf_url,gorusme_tarihi,tip,butce_yili,dosya_adi,yerel_pdf_yol,yerel_txt_yol,kaynak
22 Ekim 2024 Tarihli Görüşme (Bütçe Sunumu),https://www.sbb.gov.tr/wp-content/uploads/2025/02/22-Ekim-2024-Tarihli-Gorusme-Butce-Sunumu.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/22-Ekim-2024-Tarihli-Gorusme-Butce-Sunumu.pdf,2024-10-22,sunum,2025,20241022_sunum_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241022_sunum_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241022_sunum_sbb_001.txt,sbb
30 Ekim 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/30-Ekim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/30-Ekim-2024-Tarihli-Gorusme.pdf,2024-10-30,gorusme,2025,20241030_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241030_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241030_gorusme_sbb_001.txt,sbb
31 Ekim 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/31-Ekim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/31-Ekim-2024-Tarihli-Gorusme.pdf,2024-10-31,gorusme,2025,20241031_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241031_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241031_gorusme_sbb_001.txt,sbb
5 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/5-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/5-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-05,gorusme,2025,20241105_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241105_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241105_gorusme_sbb_001.txt,sbb
6 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/6-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/6-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-06,gorusme,2025,20241106_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241106_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241106_gorusme_sbb_001.txt,sbb
7 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/7-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/7-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-07,gorusme,2025,20241107_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241107_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241107_gorusme_sbb_001.txt,sbb
8 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/8-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/8-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-08,gorusme,2025,20241108_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241108_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241108_gorusme_sbb_001.txt,sbb
12 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/12-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/12-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-12,gorusme,2025,20241112_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241112_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241112_gorusme_sbb_001.txt,sbb
13 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/13-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/13-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-13,gorusme,2025,20241113_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241113_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241113_gorusme_sbb_001.txt,sbb
14 Kasım 2024 Tarihli Görüşme,https://www.sbb.gov.tr/wp-content/uploads/2025/02/14-Kasim-2024-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2025/02/14-Kasim-2024-Tarihli-Gorusme.pdf,2024-11-14,gorusme,2025,20241114_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20241114_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20241114_gorusme_sbb_001.txt,sbb
